"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Punjab","3","1","1962","2","0","1","1","LAL CHAND","M","IND","8282","","20773","52270","KULU","GEN","","5","39.74","39.87","no","1420","6.84","3.23","AEPB1","Independents","10809","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","1","1962","2","0","1","2","RAGHUVIR SINGH","M","INC","6862","","20773","52270","KULU","GEN","","5","39.74","33.03","no","3259","15.69","3.23","AEPB2","National Party","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","1","1962","2","0","1","3","RAJ KRISHAN","M","IND","3603","","20773","52270","KULU","GEN","","5","39.74","17.34","no","2113","10.17","3.23","AEPB3","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","1","1962","2","0","1","4","NAWAL KISHORE","M","IND","1490","","20773","52270","KULU","GEN","","5","39.74","7.17","yes","954","4.59","3.23","AEPB4","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","1","1962","2","0","1","5","GAUTAMA NATH","M","IND","536","","20773","52270","KULU","GEN","","5","39.74","2.58","yes","0","0","3.23","AEPB5","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","2","1962","2","0","1","1","BANSI RAM","M","IND","5755","","10641","49053","SERAJ","SC","","3","21.69","54.08","no","1826","17.16","2.27","AEPB6","Independents","10809","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","2","1962","2","0","1","2","JIT RAM","M","INC","3929","","10641","49053","SERAJ","SC","","3","21.69","36.92","no","2972","27.93","2.27","AEPB7","National Party","3482","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","2","1962","2","0","1","3","PULKU","M","IND","957","","10641","49053","SERAJ","SC","","3","21.69","8.99","yes","0","0","2.27","AEPB8","Independents","10809","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","2","1964","2","1","1","1","JIT RAM","","INC","6308","","11964","49053","SERAJ","SC","","2","24.39","52.72","no","652","5.45","2","AEPB7","National Party","3482","TRUE","2","INC","3482","SERAJ","TRUE","TRUE","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","2","1964","2","1","1","2","BANSI RAM","","IND","5656","","11964","49053","SERAJ","SC","","2","24.39","47.28","no","0","0","2","AEPB6","Independents","10809","TRUE","2","IND","10809","SERAJ","TRUE","TRUE","1","FALSE","TRUE","FALSE","","","","","","","","","",""
"AE","Punjab","3","3","1962","2","0","1","1","PRATAP SINGH","M","INC","11757","","30689","65866","PALAMPUR","GEN","","4","46.59","38.31","no","1175","3.83","3.23","AEPB9","National Party","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","3","1962","2","0","1","2","BANSI RAM","M","CPI","10582","","30689","65866","PALAMPUR","GEN","","4","46.59","34.48","no","4225","13.77","3.23","AEPB10","National Party","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","3","1962","2","0","1","3","PARMESHWARI DASS","M","IND","6357","","30689","65866","PALAMPUR","GEN","","4","46.59","20.71","no","4364","14.22","3.23","AEPB11","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","3","1962","2","0","1","4","BHAGI RAM","M","IND","1993","","30689","65866","PALAMPUR","GEN","","4","46.59","6.49","yes","0","0","3.23","AEPB12","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","4","1962","2","0","1","1","AMAR NATH","M","INC","11436","","30789","67476","KANGRA","GEN","","8","45.63","37.14","no","305","0.99","3.57","AEPB13","National Party","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Punjab","3","4","1962","2","0","1","2","DURGA CHAND","M","JS","11131","","30789","67476","KANGRA","GEN","","8","45.63","36.15","no","8068","26.2","3.57","AEPB14","National Party","4152","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
