"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Telangana","0","1","2009","","0","","1","KAVETI SAMMAIAH","M","TRS","47978","GEN","123947","154673","SIRPUR","GEN","","8","80.13","38.71","no","7414","5.98","3.57","AEAP4244","State-based Party","8284","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","51","","","","","","","","",""
"AE","Telangana","0","1","2009","","0","","2","KONERU KONAPPA","M","INC","40564","GEN","123947","154673","SIRPUR","GEN","","8","80.13","32.73","no","30809","24.86","3.57","AEAP12589","National Party","3482","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","54","","","","","","","","",""
"AE","Telangana","0","1","2009","","0","","3","GANAPURAM MURALIDHER","M","BJP","9755","GEN","123947","154673","SIRPUR","GEN","","8","80.13","7.87","yes","972","0.78","3.57","AEAP4246","National Party","1605","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","44","","","","","","","","",""
"AE","Telangana","0","1","2009","","0","","4","LENDUGURE MENGAJI PATEL","M","PRAP","8783","GEN","123947","154673","SIRPUR","GEN","","8","80.13","7.09","yes","175","0.14","3.57","AEAP4247","Local Party","24824","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","59","","","","","","","","",""
"AE","Telangana","0","1","2009","","0","","5","DUBBULA VENKAIAH","M","IND","8608","GEN","123947","154673","SIRPUR","GEN","","8","80.13","6.94","yes","5242","4.23","3.57","AEAP4248","Independents","10809","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","29","","","","","","","","",""
"AE","Telangana","0","1","2009","","0","","6","BINGI SRINIVAS","M","PPOI","3366","GEN","123947","154673","SIRPUR","GEN","","8","80.13","2.72","yes","243","0.2","3.57","AEAP4249","Local Party","6298","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","40","","","","","","","","",""
"AE","Telangana","0","1","2009","","0","","7","RAVINDAR NIKODE","M","BSP","3123","GEN","123947","154673","SIRPUR","GEN","","8","80.13","2.52","yes","1353","1.09","3.57","AEAP4250","State-based Party (Other State)","16651","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","43","","","","","","","","",""
"AE","Telangana","0","1","2009","","0","","8","DUBBULA JANARDHAN","M","LSP","1770","GEN","123947","154673","SIRPUR","GEN","","8","80.13","1.43","yes","0","0","3.57","AEAP4251","Local Party","5107","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","41","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","1","Kaveti Sammaiah","M","TRS","56262","","127084","154673","SIRPUR","GEN","","11","82.16","44.27","no","15229","11.98","3.12","AEAP4244","State-based Party","8284","TRUE","2","TRS","8284","SIRPUR","TRUE","TRUE","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","2","Allola Indrakaran Reddy","M","INC","41033","","127084","154673","SIRPUR","GEN","","11","82.16","32.29","no","21262","16.73","3.12","GEAP42992","National Party","3482","TRUE","2","INC","3482","NIRMAL","FALSE","TRUE","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","3","Palvai Rajyalaxmi","F","TDP","19771","","127084","154673","SIRPUR","GEN","","11","82.16","15.56","yes","16337","12.86","3.12","AEAP12588","State-based Party","8300","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","4","Udinepalli Mallesh","","IND","3434","","127084","154673","SIRPUR","GEN","","11","82.16","2.7","yes","1192","0.94","3.12","AEAP4255","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","5","A. Sevya","","IND","2242","","127084","154673","SIRPUR","GEN","","11","82.16","1.76","yes","808","0.64","3.12","AEAP4256","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","6","K. Sudharshan Rao","","IND","1434","","127084","154673","SIRPUR","GEN","","11","82.16","1.13","yes","627","0.49","3.12","AEAP4257","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","7","Amruth Lal M.","","IND","807","","127084","154673","SIRPUR","GEN","","11","82.16","0.64","yes","218","0.17","3.12","AEAP4258","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","8","Royya Bhaskar","","IND","589","","127084","154673","SIRPUR","GEN","","11","82.16","0.46","yes","6","0","3.12","AEAP4259","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","9","Katam Pochaiah","","IND","583","","127084","154673","SIRPUR","GEN","","11","82.16","0.46","yes","86","0.07","3.12","AEAP4260","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","10","Aitharaju Lachaiah","","IND","497","","127084","154673","SIRPUR","GEN","","11","82.16","0.39","yes","65","0.05","3.12","AEAP4261","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","1","2010","","1","","11","Chilaka Raju Sathaiah","","IND","432","","127084","154673","SIRPUR","GEN","","11","82.16","0.34","yes","0","0","3.12","AEAP4262","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Telangana","0","2","2009","","0","","1","NALLALA ODELU","M","TRS","45012","SC","112579","150107","CHENNUR","SC","","9","75","39.98","no","11549","10.26","3.57","AEAP4263","State-based Party","8284","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","45","","","","","","","","",""
"AE","Telangana","0","2","2009","","0","","2","G. VINOD","M","INC","33463","SC","112579","150107","CHENNUR","SC","","9","75","29.72","no","12561","11.16","3.57","AEAP4264","National Party","3482","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","53","","","","","","","","",""
"AE","Telangana","0","2","2009","","0","","3","ANDUGULA SRINIVAS","M","PRAP","20902","SC","112579","150107","CHENNUR","SC","","9","75","18.57","no","18059","16.04","3.57","AEAP4265","Local Party","24824","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","38","","","","","","","","",""
"AE","Telangana","0","2","2009","","0","","4","ARUMULLA POSHAM","M","BJP","2843","SC","112579","150107","CHENNUR","SC","","9","75","2.53","yes","63","0.06","3.57","AEAP4266","National Party","1605","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","43","","","","","","","","",""
"AE","Telangana","0","2","2009","","0","","5","MEKALA SAROJA","F","LSP","2780","SC","112579","150107","CHENNUR","SC","","9","75","2.47","yes","134","0.12","3.57","AEAP4267","Local Party","5107","FALSE","1","","","","","","0","FALSE","FALSE","FALSE","36","","","","","","","","",""
