"Election_Type","State_Name","Assembly_No","Constituency_No","Year","month","Poll_No","DelimID","Position","Candidate","Sex","Party","Votes","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Party_Type_TCPD","Party_ID","last_poll","Contested","Last_Party","Last_Party_ID","Last_Constituency_Name","Same_Constituency","Same_Party","No_Terms","Turncoat","Incumbent","Recontest","Age","District_Name","PC_Name","PC_No","CandID","MyNeta_education","TCPD_Prof_Main","TCPD_Prof_Main_Desc","TCPD_Prof_Second","TCPD_Prof_Second_Desc"
"AE","Uttarakhand","1","1","2002","2","0","3","1","MALCHANDER","M","BJP","13209","","32383","51144","PUROLA","SC","","8","63.32","40.79","no","2971","9.17","3.45","AEUP72623","National Party","1605","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","1","2002","2","0","3","2","SHANTI DEVI ALIAS SHANTI JUWANTHA","F","INC","10238","","32383","51144","PUROLA","SC","","8","63.32","31.62","no","5628","17.38","3.45","AEUP72624","National Party","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","1","2002","2","0","3","3","SHAILENDRA LAL","M","UJP","4610","","32383","51144","PUROLA","SC","","8","63.32","14.24","yes","2942","9.09","3.45","AEUP72625","Local Party","8443","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","1","2002","2","0","3","4","SAKAL CHAND","M","IND","1668","","32383","51144","PUROLA","SC","","8","63.32","5.15","yes","571","1.76","3.45","AEUP72626","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","1","2002","2","0","3","5","VIRENDRA LAL","M","SP","1097","","32383","51144","PUROLA","SC","","8","63.32","3.39","yes","297","0.92","3.45","AEUP72627","State-based Party","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","1","2002","2","0","3","6","HIRPAL ARYA","M","BSP","800","","32383","51144","PUROLA","SC","","8","63.32","2.47","yes","357","1.1","3.45","AEUP72628","State-based Party","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","1","2002","2","0","3","7","GULBIYA","M","IND","443","","32383","51144","PUROLA","SC","","8","63.32","1.37","yes","125","0.39","3.45","AEUP72629","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","1","2002","2","0","3","8","JETHU LAL","M","UKKD","318","","32383","51144","PUROLA","SC","","8","63.32","0.98","yes","0","0","3.45","AEUP72630","Local Party","13023","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","1","VIJAYPAL SINGH SAJWAN","M","INC","7878","","37675","63007","GANGOTRI","GEN","","14","59.79","20.91","no","610","1.62","6.67","AEUK100165","National Party","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","2","KAMALA RAM NAUTIYAL","M","CPI","7268","","37675","63007","GANGOTRI","GEN","","14","59.79","19.29","no","446","1.18","6.67","AEUP72637","National Party","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","3","BUDHI SINGH PANWAR","M","BJP","6822","","37675","63007","GANGOTRI","GEN","","14","59.79","18.11","no","817","2.17","6.67","AEUP72638","National Party","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","4","HARI SINGH RANA","M","IND","6005","","37675","63007","GANGOTRI","GEN","","14","59.79","15.94","yes","1923","5.1","6.67","AEUP72639","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","5","CHANDAN SINGH RANA","M","UJP","4082","","37675","63007","GANGOTRI","GEN","","14","59.79","10.83","yes","3001","7.97","6.67","AEUP72640","Local Party","8443","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","6","DEVENDRA DUTT SEMWAL","M","IND","1081","","37675","63007","GANGOTRI","GEN","","14","59.79","2.87","yes","133","0.35","6.67","AEUP73566","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","7","JAGENDRA SINGH BIST","M","IND","948","","37675","63007","GANGOTRI","GEN","","14","59.79","2.52","yes","12","0.03","6.67","AEUP72642","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","8","BUDHI BALLABH JOSHI","M","BSP","936","","37675","63007","GANGOTRI","GEN","","14","59.79","2.48","yes","290","0.77","6.67","AEUP72643","State-based Party","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","9","KAMLESHWAR","M","IND","646","","37675","63007","GANGOTRI","GEN","","14","59.79","1.71","yes","33","0.09","6.67","AEUP72644","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","10","SHANTI PRASAD THAPLIYAL","M","IND","613","","37675","63007","GANGOTRI","GEN","","14","59.79","1.63","yes","166","0.44","6.67","AEUP72632","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","11","MAHABEER SINGH CHAUHAN","M","SAP","447","","37675","63007","GANGOTRI","GEN","","14","59.79","1.19","yes","54","0.14","6.67","AEUP72633","Local Party","7575","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","12","ROSHAN LAL","M","SP","393","","37675","63007","GANGOTRI","GEN","","14","59.79","1.04","yes","66","0.18","6.67","AEUP72634","State-based Party","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","13","MADAN SINGH","M","UKKD","327","","37675","63007","GANGOTRI","GEN","","14","59.79","0.87","yes","98","0.26","6.67","AEUP72635","Local Party","13023","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","2","2002","2","0","3","14","KIRTI NIDHI SAJWAN","M","RLD","229","","37675","63007","GANGOTRI","GEN","","14","59.79","0.61","yes","0","0","6.67","AEUP72636","State-based Party","12169","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","1","PRITAM SINGH PAWAR","M","UKKD","9498","","36013","56408","YAMUNOTRI","GEN","","13","63.84","26.37","no","2485","6.9","7.14","AEUK100269","Local Party","13023","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","2","KEDAR SINGH","M","INC","7013","","36013","56408","YAMUNOTRI","GEN","","13","63.84","19.47","no","1429","3.97","7.14","AEUK100156","National Party","3482","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","3","SULOCHANA","F","BJP","5584","","36013","56408","YAMUNOTRI","GEN","","13","63.84","15.51","yes","1585","4.4","7.14","AEUP72651","National Party","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","4","BUDDHI SINGH`","M","BSP","3999","","36013","56408","YAMUNOTRI","GEN","","13","63.84","11.1","yes","2090","5.8","7.14","AEUP72652","State-based Party","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","5","BALBEER SINGH BIST","M","UJP","1909","","36013","56408","YAMUNOTRI","GEN","","13","63.84","5.3","yes","242","0.67","7.14","AEUP72653","Local Party","8443","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","6","MANVEER SINGH","M","NCP","1667","","36013","56408","YAMUNOTRI","GEN","","13","63.84","4.63","yes","363","1.01","7.14","AEUP72654","State-based Party (Other State)","5792","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","7","RANVEER SINGH","M","IND","1304","","36013","56408","YAMUNOTRI","GEN","","13","63.84","3.62","yes","35","0.1","7.14","AEUK100159","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","8","BISHAN SINGH","M","CPI","1269","","36013","56408","YAMUNOTRI","GEN","","13","63.84","3.52","yes","228","0.63","7.14","AEUP72656","National Party","2444","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","9","SANGAT SINGH CHAUHAN","M","IND","1041","","36013","56408","YAMUNOTRI","GEN","","13","63.84","2.89","yes","119","0.33","7.14","AEUP72657","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","10","DHAUNKAR SINGH","M","IND","922","","36013","56408","YAMUNOTRI","GEN","","13","63.84","2.56","yes","166","0.46","7.14","AEUP72646","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","11","BIMAL DEV AWASTHI","M","IND","756","","36013","56408","YAMUNOTRI","GEN","","13","63.84","2.1","yes","90","0.25","7.14","AEUP72647","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","12","DHARAM SINGH RANA","M","RPD","666","","36013","56408","YAMUNOTRI","GEN","","13","63.84","1.85","yes","281","0.78","7.14","AEUP72648","Local Party","6762","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","3","2002","2","0","3","13","RAM PRASAD","M","SP","385","","36013","56408","YAMUNOTRI","GEN","","13","63.84","1.07","yes","0","0","7.14","AEUP72649","State-based Party","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","1","PHOOL SINGH BIST","M","INC","10517","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","30.83","no","1389","4.07","4.76","AEUP72658","National Party","3482","TRUE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","2","VIJAY SINGH PANWAR ALIAS GUDDU PANWAR","M","IND","9128","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","26.76","no","2052","6.02","4.76","AEUP72662","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","3","LT. COL. PITAMBER DUTT KURIYAL","M","BJP","7076","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","20.74","no","4916","14.41","4.76","AEUP72663","National Party","1605","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","4","SHER SINGH RANA","M","IND","2160","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","6.33","yes","791","2.32","4.76","AEUP72664","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","5","KRIPAL SINGH CHAUHAN","M","UJP","1369","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","4.01","yes","8","0.02","4.76","AEUP72665","Local Party","8443","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","6","TRIVENDRA SINGH PANWAR","M","UKKD","1361","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","3.99","yes","725","2.13","4.76","AEUP72666","Local Party","13023","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","7","RUKAM SINGH POKHRIYAL","M","BSP","636","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","1.86","yes","183","0.54","4.76","AEUP74435","State-based Party","16651","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","8","SABBAL SINGH","M","SP","453","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","1.33","yes","11","0.03","4.76","AEUP72668","State-based Party","7425","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","9","PREM DUTT NAUTIYAL","M","IND","442","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","1.3","yes","57","0.17","4.76","AEUP72669","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","10","RAM SINGH KHAROLA","M","IND","385","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","1.13","yes","66","0.19","4.76","AEUP72659","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","11","OM PRAKASH","M","RLD","319","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","0.94","yes","53","0.16","4.76","AEUP61202","State-based Party","12169","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","4","2002","2","0","3","12","DARSHAN LAL DIMRI","M","IND","266","","34112","62328","PRATAPNAGAR","GEN","","12","54.73","0.78","yes","0","0","4.76","GEUK83678","Independents","10809","TRUE","1","","","","","","0","FALSE","FALSE","FALSE","","","","","","","","","",""
"AE","Uttarakhand","1","5","2002","2","0","3","1","KISHOR UPADHYAY","M","INC","15640","","37282","86364","TEHRI","GEN","","14","43.17","41.95","no","3928","10.54","3.57","AEUP72670","National Party","3482","FALSE","1","","","","","","1","FALSE","FALSE","FALSE","","","","","","","","","",""
